"cue","subcue","reset","last_subcue","arm","autobang","pulse","part_max_act","part_mastervol","part_thresh","part_spectgate_thresh","part_blockdur","part_curvedur","part_curvedelay","comb_mastervol","comb_volcurve","comb_spectgate_thresh","comb_clear_bufs","comb_play_loop","comb_play_seq","comb_rec_seq","comb_notes","comb_buf_speed","comb_buf_vol_0","comb_buf_vol_1","comb_buf_vol_2","comb_buf_vol_3"
0,0,"TRUE",0,"FALSE",-1,"100.00%",2,"0./0","0/0",0,7000,10000,"0./0./1.",1,"0./0/0.",12,"1/1/1/1","0/s/s/s/s","-1/-1/-1/-1","-1/-1/-1/-1","0/0/0","1./1./1./1.","all/0./0./0./0./0./0./0./0.","all","all","all"
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,"FALSE",,,,,,"0.6/0","-22/-22",3,,,,,,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,,3,"TRUE",30,"200.00%",,"0.0/60",,,,,,,"1./0/0.",12,"0/1/0/1",,"1/2/3/0","2/-1/0/-1","0/1/0","0.5/0.25/0.125/0.","all/0./1./1./0./0./180./150./0.",,,
,1,,,,15,"190.00%",,,,,,,,,,,"0/0/0/0","autobang/s/s/s/s",,,,,"all/0./1./1./0./0./20./20./0.",,,
,2,,,,15,"180.00%",,,,,,,,,,,,,,,,,"all/0.5/1./1./0./60./0./0./0.",,,
,3,,,,-1,"170.00%",,,"0/0",,,,,,,,,"60/s/s/s/s",,,,,"all/0.5/1./1./0./0./0./0./0.",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,,3,,,"100.00%",,,,,,,,,,6,"0/0/1/1","0/s*1.5/s/s/s","1/0/-1/-1","0/-1/-1/-1","0/0/1","1./0.25/0.125/0.","one/0.3/0.7/0.7/0./10./0./0./0.","one/0.0/0.0/0.0/0./0./0./0./0.","one/0.0/0.0/0.0/0./0./0./0./0.","one/0.0/0.0/0.0/0./0./0./0./0."
,1,,,,,"95.00%",,,,,,,,,,,"0/0/0/0",,,,"1/0/0",,"one/0.3/0.7/0.7/0./0./0./0./0.",,,
,2,,,,30,"75.00%",,"0.4/10","-22/-22",,4000,6000,"0./0./1.",,,,,"60/s*1.5/s/s/s",,"1/0/-1/-1","1/1/1",,,"one/0.3/0.7/0.7/0./15./10./5./0.",,
,3,,,,-1,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,,1,,,"50.00%",,"0.0/20","0/0",,,,,,,3,,"0/s/s/s/s",,,"1/0/0","1./0.5/0.25/0.125","all/1./1./1./1./0./0./0./0.","all","all","all"
,1,,,,,,,,,,,,,,,,,,,,"1/1/0",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,,0,"FALSE",,,,,,,,,,,"0./30000/-0.5",,,,,"0/-1/-1/-1","0/0/0",,"one/1./1./1./1./0./0./0./0.","one/0./0./0./0./10./10./10./10.","one/0.0/0.0/0.0/0./0./0./0./0.","one/0.0/0.0/0.0/0./0./0./0./0."
